source,target,weight
0x016ff7,0xf7,15
0x02a2,0xf7,11
0xf942,0xcc9c,20
0xb537,0x713e,12
0x01a9,0xf7,10
0x012cd4,0x1585,33
0x0147a7,0x6502,12
0x0167ae,0x4ac4,11
0xb64c,0x5811,12
0x01b0fd,0x01a501,18
0x015565,0x01550c,28
0x01baeb,0xdcc3,24
0x98ac,0x713e,12
0x01b0b9,0x01b8ff,16
0x0145c9,0xf7,72
0x01b4ff,0x0136a4,17
0x9d15,0x01b8ff,16
0xcc20,0x0136a4,16
0x013b11,0x20c6,32
0x43d9,0x5811,25
0xc2fa,0x5811,17
0x016b65,0x01b8ff,24
0x74d7,0x713e,12
0x012107,0x5811,34
0x9cda,0x9993,40
0x0832,0x0174f8,32
0x01072d,0x0174f8,16
0x012e52,0x01b8ff,43
0x148e,0x01b8ff,20
0xc91a,0x7b6c,23
0x8439,0x01b8ff,16
0x499b,0xf7,12
0x014da4,0x713e,11
0x197d,0x6f96,10
0xbb35,0x4e50,16
0x4a0a,0xeaa6,16
0x9b3e,0x7b6c,11
0x8369,0x01a577,11
0x015ebd,0x20c6,24
0xbe27,0xed9e,16
0xbbfd,0x1585,19
0x013357,0x20c6,64
0xbd0d,0x3ecf,16
0x0123fb,0x01b8ff,16
0xc0cf,0x0174f8,24
0x013a65,0x01b8ff,11
0x0160b9,0x0174f8,41
0xea6a,0x888f,12
0xfe1d,0x1585,22
0xdbc0,0xf7,12
0x9abd,0x713e,32
0x0187f9,0x015e29,12
0x016538,0x20c6,16
0x01204f,0x010efd,11
0x204f,0x01a577,16
0x41c2,0xf7,23
0xadd8,0xf7,20
0x01298f,0xd819,18
0x013034,0xf7,12
0x40,0x713e,15
0x0127,0xf7,12
0x012102,0xf7,11
0x01aaff,0xa26e,17
0x1e70,0x0174f8,92
0x105b,0xf7,29
0x7aff,0xf7,12
0x01d35e,0x20c6,24
0xe988,0x0136a4,16
0x517d,0x3a0e,12
0x01ad1f,0xb8c3,12
0x0142a4,0x713e,17
0xfa4a,0xf7,12
0xf9e0,0x20c6,56
0x99cf,0x5811,16
0x0d,0x7b6c,11
0x015a54,0xf7,12
0x6208,0x713e,24
0x010ab0,0xf7,11
0xbe27,0x011936,32
0x014808,0xe01b,11
0x38f3,0x20c6,16
0xb5df,0x5811,12
0xe691,0x01b8ff,32
0x01025b,0x0165a4,11
0x01baeb,0x9821,16
0xe926,0x16c5,20
0x011d13,0xf7,42
0x015bb9,0x6f96,19
0x01523b,0xf7,12
0x6ea1,0x713e,13
0x6bfe,0xff1b,19
0x01510b,0x713e,25
0x0169d3,0xcc85,128
0x013f93,0xb8c3,12
0x671d,0xf7,12
0x017082,0xf7,16
0x016d82,0x0174f8,209
0x018333,0x01704e,65
0x0132da,0xa26e,97
0xe727,0x0177ec,31
0x94,0x1585,17
0x013353,0xf7,56
0x5394,0xf7,11
0x3d8d,0xf7,15
0x01c014,0xf7,11
0x019b07,0x0d97,11
0xf860,0xe01b,11
0x019e95,0x75a8,11
0x9858,0x955b,12
0x015e9f,0xb8c3,25
0x016396,0xcc85,12
0x973f,0xf7,15
0x014604,0xe01b,11
0x1d52,0xf7,11
0x4da3,0x1585,10
0x41db,0x20c6,11
0x5675,0x0174f8,19
0x9dc0,0x20c6,11
0x74f9,0x0d97,12
0x01a9ad,0x48c5,33
0x013324,0x20c6,32
0xbf1d,0x20c6,16
0x016d59,0x0177ec,33
0x019d70,0x01b8ff,16
0x01baeb,0x4e50,32
0xbd12,0x1585,24
0x4a98,0x5811,17
0x016263,0x0174f8,146
0x3e92,0xf7,12
0xcc9d,0xcc85,23
0x01bae8,0x01b8ff,24
0x01a955,0xf7,11
0x6492,0xf7,25
0x011558,0x9ad4,25
0x015f34,0x5811,15
0xed45,0x5811,16
0xacaf,0x0174f8,107
0x2c6e,0x7b6c,24
0x012777,0x0145e0,11
0x0169db,0x0108cf,17
0xf6fd,0xf7,11
0x01824c,0x0174f8,73
0x2382,0xf7,11
0x01243a,0x0d97,16
0x749c,0x0174f8,111
0x011060,0x48c5,105
0x0105af,0x01ad2c,17
0x86ff,0x01210d,16
0x718a,0x01b8ff,32
0xdc6b,0x1585,16
0x016ec7,0x0174a5,12
0x014db6,0x9ad4,16
0x01bcf0,0x01b8ff,40
0x48b0,0x0174f8,11
0x24,0x20c6,58
0x010e39,0x0165a4,62
0x225e,0x20c6,48
0xcce1,0x20c6,11
0x2d0c,0x01b8ff,11
0x0145f9,0x4e50,11
0x2688,0xf7,12
0x20f4,0x01a577,16
0x0c59,0x1585,12
0x01196b,0x20c6,16
0x01829f,0xf7,12
0x01b4e0,0xd819,11
0x62d3,0x713e,20
0xacaf,0x7b6c,50
0x01817f,0x0174f8,34
0x99c0,0x011936,40
0x0197e8,0x0174f8,23
0x012a8e,0x8937,56
0x01ab4b,0xbc4a,16
0xa207,0x5dfb,11
0x019597,0x20c6,19
0x95e1,0x20c6,16
0x016e98,0xf7,11
0x0514,0x0174f8,16
0x012196,0x713e,51
0x01a23c,0x0100da,17
0xe965,0x0174f8,17
0x3de3,0xf7,42
0x73ed,0xf7,11
0x11b1,0xf7,12
0x015a87,0x7b6c,16
0xcfdc,0x9a45,32
0xef70,0x0174f8,27
0x0174c7,0xf7,14
0x580a,0x5811,25
0x018633,0x713e,11
0x9433,0x5811,28
0xdb24,0x1585,28
0x0307,0x01ad2c,17
0x4f40,0x20c6,19
0x3f10,0x713e,20
0xc380,0x20c6,11
0x4534,0x0174f8,31
0x012420,0x20c6,24
0x21ed,0x89c2,33
0x2eac,0x01b8ff,16
0x6f16,0x01a577,19
0x01a06b,0x01a577,11
0x01a6a1,0x01b8ff,16
0x9b69,0x20c6,16
0x012341,0x0174f8,33
0xec7a,0xbbfd,40
0x01afdd,0x01a577,14
0x019130,0x01b8ff,32
0x013162,0x01a577,24
0x014a65,0x0174f8,16
0x013b37,0x1585,151
0x83cb,0xa26e,25
0x01298f,0xff1b,17
0x0144cf,0x01b8ff,64
0x04a5,0x0136a4,16
0xe6a1,0x7211,12
0xc6d1,0x0174f8,65
0x0a20,0x01a55d,11
0x799e,0x01b8ff,16
0x0123ca,0x0174f8,95
0x9225,0x01b8ff,32
0x01b6d0,0xf7,20
0x01b4d4,0x59a8,16
0x013c88,0xf7,17
0x01650f,0x713e,22
0x010e95,0x01b8ff,11
0x012a17,0x99a2,12
0x68a3,0x01be64,57
0x0112b9,0x5811,24
0x3863,0xf7,33
0x441b,0xf7,15
0x35ee,0x1585,17
0x013738,0xf7,12
0xa63a,0x1585,16
0x57fa,0x5811,11
0xb7c6,0x20c6,24
0x86ff,0x8937,24
0xa632,0x0174f8,33
0x0145f9,0x3ecf,11
0x019411,0xf7,20
0x014995,0x01a577,17
0x86ff,0x5811,56
0x419a,0x0812,12
0xf03c,0x20c6,11
0x0496,0x0174f8,11
0x5027,0xf7,32
0xc413,0xf7,30
0x9afd,0x7b6c,11
0x016484,0x018d0c,373
0xf9de,0x2a29,12
0x0178e9,0x4e50,11
0x0186a2,0x0174f8,16
0x01a3c1,0x0174f8,129
0x68f0,0xf7,11
0x3cd3,0xf7,12
0x4869,0x01ad2c,17
0xf508,0x0174f8,16
0x9f4b,0x01b8ff,32
0x7b4c,0x0165a4,13
0x72cb,0xf7,31
0x3efc,0x1585,17
0xc30b,0x0174f8,64
0x0183d4,0x199a,17
0x01aff7,0x01b8ff,11
0x012598,0x01a577,16
0x53ec,0x013489,41
0xf9db,0x01b8ff,16
0x0119af,0xa26e,113
0x01d767,0xbc4a,34
0x016dcd,0x0174f8,65
0x5415,0x2a29,12
0x86ff,0x3ecf,16
0x3a3b,0x0174f8,176
0x011689,0x0174f8,40
0xcc0d,0xb8c3,12
0x9020,0x0174f8,90
0x1123,0xf7,20
0x580e,0x5811,59
0x011a8e,0x0d97,113
0xbe1a,0x99a2,17
0x014521,0x01b8ff,16
0x01334d,0x0174f8,72
0x0133e2,0x4e50,12
0x52b1,0xf7,12
0x18ce,0x01a577,16
0x2a86,0x0174f8,90
0x1e70,0x01b8ff,16
0x4fb7,0x1585,108
0x4b9d,0x01b8ff,16
0x012d91,0x5811,33
0x197d,0x1585,31
0x01d3db,0xbc4a,17
0x010466,0x20c6,11
0x019413,0x01b8ff,24
0x37a3,0xf7,10
0xbd18,0xf7,16
0x01baeb,0x9b6f,16
0x5376,0xf7,11
0xacaf,0x01a577,127
0x01c8a7,0x20c6,24
0x01912e,0x20c6,11
0x0169e6,0xed9e,11
0xacde,0x01a577,11
0x26b4,0x20c6,15
0xe5e9,0x20c6,17
0x012a81,0x713e,12
0x6bca,0x01b40d,12
0x01316a,0x59a8,30
0x015700,0x7b6c,16
0x017ebd,0x012608,14
0x7aaf,0x7b6c,11
0x0174f8,0x01a577,16
0x0190e9,0x0174f8,16
0x014af1,0x017373,20
0x05,0xac82,12
0xd7fa,0x48c5,25
0x5bc3,0x0174f8,156
0x016538,0x01b8ff,12
0xa63a,0x01b26c,16
0xc68e,0x126d,11
0x0124f1,0x1585,11
0x011c67,0x0174f8,17
0x018efd,0xf7,12
0x6471,0x1cbb,33
0x0107e3,0x01a577,16
0x016ae9,0xf7,12
0x0113e7,0x0174f8,24
0x40e1,0xf7,16
0x018b24,0x01a577,11
0xfbcc,0x01a577,16
0x519a,0x0136a4,16
0x01c0c6,0x48c5,12
0x950a,0xed9e,538
0xb2db,0x0174f8,17
0x01b4e0,0x1585,11
0x01c244,0xa26e,16
0x2382,0x0174f8,19
0x5384,0x713e,28
0x0184fa,0x01b8ff,12
0xea09,0x20c6,11
0x0178bb,0x713e,15
0x018271,0x1585,17
0x02d6,0x0174f8,24
0xd557,0x0174f8,24
0x0108db,0x713e,17
0x23fc,0x0174f8,16
0x015753,0x3902,12
0xbd0d,0x015e29,16
0x7ea7,0x0174f8,20
0x018924,0x713e,52
0x015639,0xf7,26
0x1bde,0x0174f8,22
0xf6bc,0x01ad2c,17
0xbcf0,0x1585,16
0x5392,0xf7,11
0xd141,0x018d0c,73
0x51fe,0xf7,22
0x01015c,0x01a577,11
0x0184d8,0x9993,40
0x0145d8,0x11e3,11
0x075d,0xb8c3,45
0x014a75,0x0136a4,17
0x0156c3,0x5811,24
0x018515,0x7b6c,16
0x24,0x01b8ff,76
0x01dd84,0xff1b,12
0xbd1f,0x0174f8,33
0xaa8e,0x9a67,12
0xf343,0x0174f8,12
0x014164,0x5811,24
0x2ead,0x0174f8,16
0x63d6,0xf7,11
0x01b688,0x0136a4,17
0xf589,0x20c6,11
0x1893,0x20c6,12
0x0145,0x7b6c,11
0x01b930,0x0174f8,11
0x010009,0xf7,12
0x01175e,0x1585,25
0xc026,0x20c6,16
0x8ee2,0xf7,33
0x01534a,0x01a577,41
0xcc81,0xcc85,100
0xecaf,0x01b8ff,32
0x0125be,0x0174f8,16
0x017df4,0x11e3,12
0x0128bf,0x01b8ff,32
0xd2fa,0x01db11,12
0x4d04,0xf7,11
0x015145,0x4e50,16
0xb2aa,0x0136a4,16
0x4b56,0x5811,17
0x69f9,0x713e,12
0xf0ee,0x4e50,31
0x4f3c,0x01b8ff,36
0x0126fb,0x0174f8,33
0xa6ac,0x20c6,16
0x0101f7,0x0174f8,105
0x891c,0x01b8ff,17
0x012091,0x0174f8,40
0x4a9c,0x01a577,11
0x86ff,0xdcc3,24
0xac02,0xc06b,12
0x01484e,0xd819,17
0x034c,0x0174f8,11
0x3a68,0x20c6,16
0xb9eb,0x01a577,16
0xf9db,0x20c6,16
0xcbf3,0xcc85,137
0xf391,0xf7,24
0x01b6f7,0x5811,25
0x641b,0x888f,28
0x6ea1,0x20c6,15
0x223f,0x7b6c,20
0xdc96,0x20c6,11
0x91d7,0x5811,1040
0x8399,0x1585,26
0xb23e,0x0174f8,32
0x01076f,0x01704e,89
0x011c52,0xf7,34
0x6acc,0xf7,15
0x0182a9,0x0174f8,116
0x450c,0x0174f8,48
0x014234,0x0174f8,16
0x5217,0xf7,14
0x0156e9,0x20c6,16
0x26cd,0x013489,25
0xa78d,0x7b6c,12
0x5bdc,0x0177ec,17
0x8e00,0xf7,12
0x0127ae,0x0127c6,33
0xb891,0x20c6,72
0x0156fd,0x01b8ff,16
0x017418,0xf7,12
0x01baef,0x6a8d,23
0x01817d,0x9993,40
0x75cf,0x0100da,14
0xc394,0x0165a4,20
